Dex	Name	Nom	Form	Type1	Type2	Total	HP	Attack	Defense	SpAtk	SpDef	Speed	Gen	Ether	Psycox	IconUrl	PokeApiIdentifier	Abilities	HiddenAbility	IsFullyEvolved	Category	SmogonTier
1	Bulbasaur	Bulbizarre		Grass	Poison	318	45	49	49	65	65	45	1	8	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0001.png	bulbasaur	overgrow	chlorophyll	false	Normal	LC
2	Ivysaur	Herbizarre		Grass	Poison	405	60	62	63	80	80	60	1	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0002.png	ivysaur	overgrow	chlorophyll	false	Normal	NFE
3	Venusaur	Florizarre		Grass	Poison	525	80	82	83	100	100	80	1	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0003.png	venusaur	overgrow	chlorophyll	true	Normal	PU
4	Charmander	Salamèche		Fire		309	39	52	43	60	50	65	1	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0004.png	charmander	blaze	solar-power	false	Normal	LC
5	Charmeleon	Reptincel		Fire		405	58	64	58	80	65	80	1	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0005.png	charmeleon	blaze	solar-power	false	Normal	NFE
6	Charizard	Dracaufeu		Fire	Flying	534	78	84	78	109	85	100	1	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0006.png	charizard	blaze	solar-power	true	Normal	ZU
7	Squirtle	Carapuce		Water		314	44	48	65	50	64	43	1	9	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0007.png	squirtle	torrent	rain-dish	false	Normal	LC
8	Wartortle	Carabaffe		Water		405	59	63	80	65	80	58	1	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0008.png	wartortle	torrent	rain-dish	false	Normal	NFE
9	Blastoise	Tortank		Water		530	79	83	100	85	105	78	1	7	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0009.png	blastoise	torrent	rain-dish	true	Normal	RUBL
10	Caterpie	Chenipan		Bug		195	45	30	35	20	20	45	1	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0010.png	caterpie	shield-dust	run-away	false	Normal	Illegal
11	Metapod	Chrysacier		Bug		205	50	20	55	25	25	30	1	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0011.png	metapod	shed-skin		false	Normal	Illegal
12	Butterfree	Papilusion		Bug	Flying	395	60	45	50	90	80	70	1	8	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0012.png	butterfree	compound-eyes	tinted-lens	true	Normal	Illegal
13	Weedle	Aspicot		Bug	Poison	195	40	35	30	20	20	50	1	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0013.png	weedle	shield-dust	run-away	false	Normal	Illegal
14	Kakuna	Coconfort		Bug	Poison	205	45	25	50	25	25	35	1	5	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0014.png	kakuna	shed-skin		false	Normal	Illegal
